Query,RetrievedDocuments
20001.query,VOM19980510.0730.0264 VOM19980605.0730.0117 VOM19980227.0900.1692 VOM19980507.0700.0034 VOM19980222.0700.2059 VOM19980414.0900.0217 VOM19980524.0700.0337 VOM19980502.0700.0307 VOM19980223.0900.2015 VOM19980508.0700.0421 VOM19980224.0700.1212 VOM19980228.0700.1784 
20002.query,VOM19980326.0700.0207 VOM19980403.0700.0528 VOM19980624.0700.0122 VOM19980503.0700.0300 VOM19980316.0700.0356 VOM19980223.0700.0664 VOM19980611.0900.0216 VOM19980506.0700.0242 
20005.query,VOM19980602.0700.0245 VOM19980224.0700.0382 
20013.query,VOM19980618.0900.0204 VOM19980623.0700.0114 VOM19980504.0700.0456 VOM19980526.0700.0381 
20015.query,VOM19980316.0900.0320 VOM19980621.0730.0064 VOM19980316.0700.0180 VOM19980602.0700.0383 VOM19980627.0730.0001 VOM19980326.0700.3398 VOM19980306.0700.2852 VOM19980530.0730.0101 VOM19980304.0700.1058 VOM19980523.0700.0562 VOM19980312.0900.1896 VOM19980403.0900.2152 VOM19980618.0700.0315 VOM19980306.0700.0671 VOM19980618.0730.0003 VOM19980302.0700.2066 VOM19980223.0700.0240 
20020.query,VOM19980303.0900.2332 VOM19980503.0700.0546 
20023.query,VOM19980228.0700.1239 VOM19980522.0700.0456 VOM19980319.0700.0722 VOM19980523.0700.0312 VOM19980502.0700.0149 VOM19980606.0700.0206 VOM19980529.0900.0079 VOM19980311.0700.0357 VOM19980511.0900.0244 VOM19980223.0900.1900 
20039.query,VOM19980618.0700.0144 VOM19980410.0900.0146 VOM19980319.0700.0399 VOM19980521.0900.0007 VOM19980220.0900.3396 VOM19980327.0900.1287 VOM19980314.0700.3190 
20048.query,VOM19980303.0700.2287 VOM19980319.0900.0647 VOM19980314.0700.3062 
20070.query,VOM19980228.0700.2873 
20071.query,VOM19980225.0700.0999 VOM19980223.0900.0265 
20076.query,VOM19980325.0900.2077 VOM19980226.0900.0170 VOM19980630.0730.0002 VOM19980315.0700.0267 VOM19980515.0730.0097 VOM19980224.0700.1620 VOM19980507.0700.0314 VOM19980603.0730.0115 VOM19980319.0700.1749 VOM19980317.0700.1605 VOM19980624.0700.0343 VOM19980523.0700.0491 VOM19980227.0900.2836 VOM19980316.0900.3433 VOM19980505.0730.0258 
20088.query,VOM19980503.0730.0204 VOM19980609.0900.0255 VOM19980327.0900.1937 VOM19980507.0700.0457 VOM19980306.0700.1383 VOM19980626.0900.0124 VOM19980616.0700.0173 VOM19980316.0700.2554 VOM19980227.0900.0214 VOM19980617.0700.0394 VOM19980306.0700.0971 VOM19980508.0700.0125 VOM19980403.0700.3284 VOM19980227.0900.1978 VOM19980529.0700.0227 VOM19980314.0700.0164 
20089.query,VOM19980317.0900.0224 VOM19980326.0900.2611 VOM19980311.0700.2138 VOM19980624.0700.0209 VOM19980627.0700.0330 VOM19980503.0730.0002 VOM19980227.0900.2094 VOM19980504.0730.0037 VOM19980407.0900.0109 VOM19980317.0700.0255 
20091.query,VOM19980509.0700.0089 VOM19980312.0900.1827 VOM19980306.0700.0555 VOM19980507.0700.0546 VOM19980223.0900.3502 VOM19980618.0700.0187 VOM19980511.0700.0039 VOM19980531.0730.0195 VOM19980624.0700.0546 VOM19980604.0700.0236 VOM19980315.0700.1964 VOM19980616.0700.0146 VOM19980326.0900.0371 VOM19980605.0700.0354 VOM19980403.0900.2970 VOM19980527.0900.0260 VOM19980304.0900.1700 VOM19980422.0900.0246 VOM19980327.0900.3495 
20096.query,VOM19980302.0700.2191 VOM19980626.0730.0227 VOM19980508.0700.0549 VOM19980224.0900.3022 VOM19980606.0730.0060 VOM19980625.0730.0264 VOM19980305.0900.2166 VOM19980303.0700.0524 
