Topic 0
3015 : 0.049662 
596 : 0.020535 
2572 : 0.013729 
732 : 0.013134 
1407 : 0.012321 
2914 : 0.010638 
1259 : 0.010263 
1985 : 0.010242 
457 : 0.008932 
612 : 0.007409 
1155 : 0.006533 
21413 : 0.006211 
1200 : 0.005961 
16761 : 0.005950 
2913 : 0.005911 
508 : 0.005863 
2345 : 0.005228 
2997 : 0.004861 
2000 : 0.004706 
2718 : 0.004509 
38527 : 0.004425 
1330 : 0.004371 
2625 : 0.004140 
1027 : 0.004119 
713 : 0.003996 
25607 : 0.003909 
2986 : 0.003800 
34435 : 0.003694 
27646 : 0.003603 
27647 : 0.003489 
3302 : 0.003488 
24488 : 0.003474 
644 : 0.003455 
1004 : 0.003385 
3981 : 0.003334 
1375 : 0.003314 
3396 : 0.003249 
1715 : 0.003109 
3043 : 0.003104 
3596 : 0.003103 
657 : 0.003024 
13894 : 0.002923 
8994 : 0.002854 
1788 : 0.002793 
1416 : 0.002768 
1278 : 0.002733 
8594 : 0.002678 
24022 : 0.002653 
7680 : 0.002640 
1583 : 0.002602 
739 : 0.002535 
29953 : 0.002441 
2535 : 0.002419 
34179 : 0.002416 
2500 : 0.002408 
3103 : 0.002402 
2231 : 0.002393 
3237 : 0.002386 
40889 : 0.002336 
3318 : 0.002323 
1077 : 0.002230 
24554 : 0.002200 
27960 : 0.002181 
2471 : 0.002145 
38208 : 0.002101 
2155 : 0.002082 
29686 : 0.002076 
1521 : 0.001996 
3500 : 0.001989 
42763 : 0.001970 
2091 : 0.001968 
18316 : 0.001962 
1109 : 0.001935 
1464 : 0.001929 
2903 : 0.001893 
2827 : 0.001887 
1837 : 0.001866 
2878 : 0.001809 
3460 : 0.001805 
3383 : 0.001735 
2033 : 0.001706 
651 : 0.001689 
2148 : 0.001687 
12026 : 0.001653 
33624 : 0.001615 
2890 : 0.001615 
3020 : 0.001614 
18329 : 0.001592 
1374 : 0.001579 
14177 : 0.001559 
16231 : 0.001558 
31011 : 0.001557 
15648 : 0.001554 
2938 : 0.001531 
886 : 0.001513 
479 : 0.001481 
31245 : 0.001442 
20253 : 0.001411 
1894 : 0.001379 
26147 : 0.001362 
926 : 0.001360 
1815 : 0.001357 
29626 : 0.001351 
27087 : 0.001346 
3100 : 0.001339 
24685 : 0.001324 
2800 : 0.001321 
1551 : 0.001307 
35125 : 0.001303 
3025 : 0.001276 
716 : 0.001269 
4195 : 0.001257 
21442 : 0.001250 
7689 : 0.001233 
20258 : 0.001223 
3844 : 0.001207 
27920 : 0.001203 
23919 : 0.001201 
855 : 0.001181 
2220 : 0.001172 
13502 : 0.001169 
8221 : 0.001168 
2999 : 0.001162 
2764 : 0.001145 
1882 : 0.001132 
2955 : 0.001124 
38180 : 0.001114 
3301 : 0.001113 
13877 : 0.001105 
44394 : 0.001097 
34701 : 0.001094 
2016 : 0.001093 
1730 : 0.001091 
1159 : 0.001088 
10736 : 0.001080 
1003 : 0.001064 
26155 : 0.001063 
973 : 0.001060 
1745 : 0.001056 
26014 : 0.001054 
7609 : 0.001050 
4165 : 0.001049 
353 : 0.001036 
38193 : 0.001028 
24702 : 0.001026 
3068 : 0.001014 
2847 : 0.001014 
10369 : 0.001012 
4072 : 0.001011 
3012 : 0.001011 
32903 : 0.001008 
1269 : 0.001006 
13703 : 0.001003 
991 : 0.000997 
2396 : 0.000997 
662 : 0.000995 
2085 : 0.000984 
12620 : 0.000976 
2619 : 0.000974 
20818 : 0.000965 
3469 : 0.000964 
30066 : 0.000958 
3153 : 0.000957 
2875 : 0.000955 
2717 : 0.000938 
12085 : 0.000937 
14970 : 0.000932 
23926 : 0.000916 
10757 : 0.000894 
1728 : 0.000883 
35814 : 0.000881 
7548 : 0.000880 
23728 : 0.000878 
40819 : 0.000858 
3017 : 0.000852 
2715 : 0.000841 
7570 : 0.000837 
2446 : 0.000837 
2054 : 0.000831 
870 : 0.000831 
744 : 0.000825 
1565 : 0.000821 
30323 : 0.000818 
491 : 0.000812 
1153 : 0.000810 
27414 : 0.000805 
11408 : 0.000803 
8946 : 0.000802 
8813 : 0.000800 
2024 : 0.000795 
567 : 0.000790 
3073 : 0.000790 
2559 : 0.000784 
37448 : 0.000782 
2584 : 0.000776 
347 : 0.000775 
3367 : 0.000767 
11164 : 0.000762 
11787 : 0.000761 
1152 : 0.000759 
23542 : 0.000755 
2284 : 0.000754 
1741 : 0.000753 
379 : 0.000750 
12685 : 0.000749 
29437 : 0.000748 
29762 : 0.000740 
25590 : 0.000738 
24559 : 0.000733 
1190 : 0.000732 
24885 : 0.000729 
653 : 0.000726 
1167 : 0.000724 
14452 : 0.000721 
2184 : 0.000715 
1290 : 0.000714 
20277 : 0.000714 
684 : 0.000714 
1036 : 0.000714 
23840 : 0.000713 
35244 : 0.000712 
33676 : 0.000709 
9245 : 0.000708 
1678 : 0.000706 
35251 : 0.000699 
12498 : 0.000697 
26166 : 0.000697 
20306 : 0.000697 
1799 : 0.000693 
24495 : 0.000692 
699 : 0.000692 
22572 : 0.000683 
44022 : 0.000683 
26763 : 0.000683 
2690 : 0.000681 
1548 : 0.000681 
19153 : 0.000680 
1099 : 0.000676 
8895 : 0.000675 
24516 : 0.000665 
7807 : 0.000665 
17257 : 0.000664 
451 : 0.000663 
906 : 0.000661 
15357 : 0.000660 
22581 : 0.000659 
35132 : 0.000657 
2273 : 0.000657 
14468 : 0.000657 
1376 : 0.000655 
