INFO:root:Topic 0
INFO:root:3015 : 0.049662 
INFO:root:596 : 0.020535 
INFO:root:2572 : 0.013729 
INFO:root:732 : 0.013134 
INFO:root:1407 : 0.012321 
INFO:root:2914 : 0.010638 
INFO:root:1259 : 0.010263 
INFO:root:1985 : 0.010242 
INFO:root:457 : 0.008932 
INFO:root:612 : 0.007409 
INFO:root:1155 : 0.006533 
INFO:root:21413 : 0.006211 
INFO:root:1200 : 0.005961 
INFO:root:16761 : 0.005950 
INFO:root:2913 : 0.005911 
INFO:root:508 : 0.005863 
INFO:root:2345 : 0.005228 
INFO:root:2997 : 0.004861 
INFO:root:2000 : 0.004706 
INFO:root:2718 : 0.004509 
INFO:root:38527 : 0.004425 
INFO:root:1330 : 0.004371 
INFO:root:2625 : 0.004140 
INFO:root:1027 : 0.004119 
INFO:root:713 : 0.003996 
INFO:root:25607 : 0.003909 
INFO:root:2986 : 0.003800 
INFO:root:34435 : 0.003694 
INFO:root:27646 : 0.003603 
INFO:root:27647 : 0.003489 
INFO:root:3302 : 0.003488 
INFO:root:24488 : 0.003474 
INFO:root:644 : 0.003455 
INFO:root:1004 : 0.003385 
INFO:root:3981 : 0.003334 
INFO:root:1375 : 0.003314 
INFO:root:3396 : 0.003249 
INFO:root:1715 : 0.003109 
INFO:root:3043 : 0.003104 
INFO:root:3596 : 0.003103 
INFO:root:657 : 0.003024 
INFO:root:13894 : 0.002923 
INFO:root:8994 : 0.002854 
INFO:root:1788 : 0.002793 
INFO:root:1416 : 0.002768 
INFO:root:1278 : 0.002733 
INFO:root:8594 : 0.002678 
INFO:root:24022 : 0.002653 
INFO:root:7680 : 0.002640 
INFO:root:1583 : 0.002602 
INFO:root:739 : 0.002535 
INFO:root:29953 : 0.002441 
INFO:root:2535 : 0.002419 
INFO:root:34179 : 0.002416 
INFO:root:2500 : 0.002408 
INFO:root:3103 : 0.002402 
INFO:root:2231 : 0.002393 
INFO:root:3237 : 0.002386 
INFO:root:40889 : 0.002336 
INFO:root:3318 : 0.002323 
INFO:root:1077 : 0.002230 
INFO:root:24554 : 0.002200 
INFO:root:27960 : 0.002181 
INFO:root:2471 : 0.002145 
INFO:root:38208 : 0.002101 
INFO:root:2155 : 0.002082 
INFO:root:29686 : 0.002076 
INFO:root:1521 : 0.001996 
INFO:root:3500 : 0.001989 
INFO:root:42763 : 0.001970 
INFO:root:2091 : 0.001968 
INFO:root:18316 : 0.001962 
INFO:root:1109 : 0.001935 
INFO:root:1464 : 0.001929 
INFO:root:2903 : 0.001893 
INFO:root:2827 : 0.001887 
INFO:root:1837 : 0.001866 
INFO:root:2878 : 0.001809 
INFO:root:3460 : 0.001805 
INFO:root:3383 : 0.001735 
INFO:root:2033 : 0.001706 
INFO:root:651 : 0.001689 
INFO:root:2148 : 0.001687 
INFO:root:12026 : 0.001653 
INFO:root:33624 : 0.001615 
INFO:root:2890 : 0.001615 
INFO:root:3020 : 0.001614 
INFO:root:18329 : 0.001592 
INFO:root:1374 : 0.001579 
INFO:root:14177 : 0.001559 
INFO:root:16231 : 0.001558 
INFO:root:31011 : 0.001557 
INFO:root:15648 : 0.001554 
INFO:root:2938 : 0.001531 
INFO:root:886 : 0.001513 
INFO:root:479 : 0.001481 
INFO:root:31245 : 0.001442 
INFO:root:20253 : 0.001411 
INFO:root:1894 : 0.001379 
INFO:root:26147 : 0.001362 
INFO:root:926 : 0.001360 
INFO:root:1815 : 0.001357 
INFO:root:29626 : 0.001351 
INFO:root:27087 : 0.001346 
INFO:root:3100 : 0.001339 
INFO:root:24685 : 0.001324 
INFO:root:2800 : 0.001321 
INFO:root:1551 : 0.001307 
INFO:root:35125 : 0.001303 
INFO:root:3025 : 0.001276 
INFO:root:716 : 0.001269 
INFO:root:4195 : 0.001257 
INFO:root:21442 : 0.001250 
INFO:root:7689 : 0.001233 
INFO:root:20258 : 0.001223 
INFO:root:3844 : 0.001207 
INFO:root:27920 : 0.001203 
INFO:root:23919 : 0.001201 
INFO:root:855 : 0.001181 
INFO:root:2220 : 0.001172 
INFO:root:13502 : 0.001169 
INFO:root:8221 : 0.001168 
INFO:root:2999 : 0.001162 
INFO:root:2764 : 0.001145 
INFO:root:1882 : 0.001132 
INFO:root:2955 : 0.001124 
INFO:root:38180 : 0.001114 
INFO:root:3301 : 0.001113 
INFO:root:13877 : 0.001105 
INFO:root:44394 : 0.001097 
INFO:root:34701 : 0.001094 
INFO:root:2016 : 0.001093 
INFO:root:1730 : 0.001091 
INFO:root:1159 : 0.001088 
INFO:root:10736 : 0.001080 
INFO:root:1003 : 0.001064 
INFO:root:26155 : 0.001063 
INFO:root:973 : 0.001060 
INFO:root:1745 : 0.001056 
INFO:root:26014 : 0.001054 
INFO:root:7609 : 0.001050 
INFO:root:4165 : 0.001049 
INFO:root:353 : 0.001036 
INFO:root:38193 : 0.001028 
INFO:root:24702 : 0.001026 
INFO:root:3068 : 0.001014 
INFO:root:2847 : 0.001014 
INFO:root:10369 : 0.001012 
INFO:root:4072 : 0.001011 
INFO:root:3012 : 0.001011 
INFO:root:32903 : 0.001008 
INFO:root:1269 : 0.001006 
INFO:root:13703 : 0.001003 
INFO:root:991 : 0.000997 
INFO:root:2396 : 0.000997 
INFO:root:662 : 0.000995 
INFO:root:2085 : 0.000984 
INFO:root:12620 : 0.000976 
INFO:root:2619 : 0.000974 
INFO:root:20818 : 0.000965 
INFO:root:3469 : 0.000964 
INFO:root:30066 : 0.000958 
INFO:root:3153 : 0.000957 
INFO:root:2875 : 0.000955 
INFO:root:2717 : 0.000938 
INFO:root:12085 : 0.000937 
INFO:root:14970 : 0.000932 
INFO:root:23926 : 0.000916 
INFO:root:10757 : 0.000894 
INFO:root:1728 : 0.000883 
INFO:root:35814 : 0.000881 
INFO:root:7548 : 0.000880 
INFO:root:23728 : 0.000878 
INFO:root:40819 : 0.000858 
INFO:root:3017 : 0.000852 
INFO:root:2715 : 0.000841 
INFO:root:7570 : 0.000837 
INFO:root:2446 : 0.000837 
INFO:root:2054 : 0.000831 
INFO:root:870 : 0.000831 
INFO:root:744 : 0.000825 
INFO:root:1565 : 0.000821 
INFO:root:30323 : 0.000818 
INFO:root:491 : 0.000812 
INFO:root:1153 : 0.000810 
INFO:root:27414 : 0.000805 
INFO:root:11408 : 0.000803 
INFO:root:8946 : 0.000802 
INFO:root:8813 : 0.000800 
INFO:root:2024 : 0.000795 
INFO:root:567 : 0.000790 
INFO:root:3073 : 0.000790 
INFO:root:2559 : 0.000784 
INFO:root:37448 : 0.000782 
INFO:root:2584 : 0.000776 
INFO:root:347 : 0.000775 
INFO:root:3367 : 0.000767 
INFO:root:11164 : 0.000762 
INFO:root:11787 : 0.000761 
INFO:root:1152 : 0.000759 
INFO:root:23542 : 0.000755 
INFO:root:2284 : 0.000754 
INFO:root:1741 : 0.000753 
INFO:root:379 : 0.000750 
INFO:root:12685 : 0.000749 
INFO:root:29437 : 0.000748 
INFO:root:29762 : 0.000740 
INFO:root:25590 : 0.000738 
INFO:root:24559 : 0.000733 
INFO:root:1190 : 0.000732 
INFO:root:24885 : 0.000729 
INFO:root:653 : 0.000726 
INFO:root:1167 : 0.000724 
INFO:root:14452 : 0.000721 
INFO:root:2184 : 0.000715 
INFO:root:1290 : 0.000714 
INFO:root:20277 : 0.000714 
INFO:root:684 : 0.000714 
INFO:root:1036 : 0.000714 
INFO:root:23840 : 0.000713 
INFO:root:35244 : 0.000712 
INFO:root:33676 : 0.000709 
INFO:root:9245 : 0.000708 
INFO:root:1678 : 0.000706 
INFO:root:35251 : 0.000699 
INFO:root:12498 : 0.000697 
INFO:root:26166 : 0.000697 
INFO:root:20306 : 0.000697 
INFO:root:1799 : 0.000693 
INFO:root:24495 : 0.000692 
INFO:root:699 : 0.000692 
INFO:root:22572 : 0.000683 
INFO:root:44022 : 0.000683 
INFO:root:26763 : 0.000683 
INFO:root:2690 : 0.000681 
INFO:root:1548 : 0.000681 
INFO:root:19153 : 0.000680 
INFO:root:1099 : 0.000676 
INFO:root:8895 : 0.000675 
INFO:root:24516 : 0.000665 
INFO:root:7807 : 0.000665 
INFO:root:17257 : 0.000664 
INFO:root:451 : 0.000663 
INFO:root:906 : 0.000661 
INFO:root:15357 : 0.000660 
INFO:root:22581 : 0.000659 
INFO:root:35132 : 0.000657 
INFO:root:2273 : 0.000657 
INFO:root:14468 : 0.000657 
INFO:root:1376 : 0.000655 
INFO:root:1507 : 0.000655 
INFO:root:44053 : 0.000654 
INFO:root:27207 : 0.000653 
INFO:root:18176 : 0.000648 
INFO:root:2866 : 0.000647 
INFO:root:19303 : 0.000643 
INFO:root:2620 : 0.000641 
INFO:root:12320 : 0.000641 
INFO:root:11047 : 0.000641 
INFO:root:3507 : 0.000638 
INFO:root:10320 : 0.000635 
INFO:root:889 : 0.000633 
INFO:root:341 : 0.000631 
INFO:root:3455 : 0.000622 
INFO:root:2280 : 0.000621 
INFO:root:465 : 0.000619 
INFO:root:10477 : 0.000615 
INFO:root:30002 : 0.000615 
INFO:root:24806 : 0.000613 
INFO:root:3483 : 0.000611 
INFO:root:11070 : 0.000608 
INFO:root:38925 : 0.000608 
INFO:root:2722 : 0.000605 
INFO:root:35409 : 0.000602 
INFO:root:1542 : 0.000602 
INFO:root:25634 : 0.000599 
INFO:root:18663 : 0.000598 
INFO:root:10951 : 0.000598 
INFO:root:14893 : 0.000598 
INFO:root:1157 : 0.000595 
INFO:root:35961 : 0.000592 
INFO:root:41399 : 0.000592 
INFO:root:15544 : 0.000590 
INFO:root:2710 : 0.000590 
INFO:root:3429 : 0.000588 
INFO:root:1888 : 0.000585 
INFO:root:20709 : 0.000583 
INFO:root:32011 : 0.000583 
INFO:root:18759 : 0.000580 
INFO:root:533 : 0.000580 
INFO:root:530 : 0.000578 
INFO:root:18742 : 0.000578 
INFO:root:414 : 0.000578 
INFO:root:1682 : 0.000577 
INFO:root:40455 : 0.000576 
INFO:root:18828 : 0.000576 
INFO:root:3926 : 0.000573 
INFO:root:29861 : 0.000570 
INFO:root:18642 : 0.000569 
INFO:root:3578 : 0.000569 
INFO:root:29525 : 0.000564 
INFO:root:20656 : 0.000563 
INFO:root:10752 : 0.000561 
INFO:root:34616 : 0.000561 
INFO:root:7469 : 0.000555 
INFO:root:8976 : 0.000552 
INFO:root:24719 : 0.000546 
INFO:root:1022 : 0.000538 
INFO:root:1024 : 0.000537 
INFO:root:10900 : 0.000532 
INFO:root:1829 : 0.000528 
INFO:root:17442 : 0.000528 
INFO:root:41840 : 0.000526 
INFO:root:44049 : 0.000525 
INFO:root:38810 : 0.000524 
INFO:root:24586 : 0.000523 
INFO:root:7931 : 0.000520 
INFO:root:1154 : 0.000517 
INFO:root:40459 : 0.000516 
INFO:root:15418 : 0.000515 
INFO:root:33750 : 0.000512 
INFO:root:953 : 0.000510 
INFO:root:37941 : 0.000510 
INFO:root:16513 : 0.000509 
INFO:root:18352 : 0.000508 
INFO:root:22642 : 0.000506 
INFO:root:23914 : 0.000506 
INFO:root:15427 : 0.000505 
INFO:root:3835 : 0.000504 
INFO:root:26151 : 0.000504 
INFO:root:15285 : 0.000503 
INFO:root:3315 : 0.000501 
INFO:root:24310 : 0.000497 
INFO:root:44198 : 0.000491 
INFO:root:35686 : 0.000490 
INFO:root:476 : 0.000489 
INFO:root:11045 : 0.000487 
INFO:root:32198 : 0.000485 
INFO:root:3379 : 0.000483 
INFO:root:1926 : 0.000482 
INFO:root:1424 : 0.000481 
INFO:root:9715 : 0.000480 
INFO:root:38280 : 0.000479 
INFO:root:24040 : 0.000478 
INFO:root:41971 : 0.000477 
INFO:root:31622 : 0.000477 
INFO:root:484 : 0.000470 
INFO:root:40526 : 0.000470 
INFO:root:31225 : 0.000470 
INFO:root:19572 : 0.000469 
INFO:root:9024 : 0.000468 
INFO:root:15596 : 0.000468 
INFO:root:28541 : 0.000467 
INFO:root:32692 : 0.000465 
INFO:root:8670 : 0.000463 
INFO:root:28516 : 0.000462 
INFO:root:2998 : 0.000462 
INFO:root:9793 : 0.000461 
INFO:root:1898 : 0.000461 
INFO:root:2191 : 0.000461 
INFO:root:3070 : 0.000460 
INFO:root:9423 : 0.000460 
INFO:root:1664 : 0.000459 
INFO:root:16904 : 0.000459 
INFO:root:2123 : 0.000456 
INFO:root:469 : 0.000454 
INFO:root:42680 : 0.000453 
INFO:root:1135 : 0.000453 
INFO:root:2453 : 0.000452 
INFO:root:2433 : 0.000452 
INFO:root:49949 : 0.000451 
INFO:root:38988 : 0.000450 
INFO:root:947 : 0.000450 
INFO:root:32874 : 0.000450 
INFO:root:28421 : 0.000450 
INFO:root:2989 : 0.000450 
INFO:root:573 : 0.000450 
