INFO:root:V = 8211  D = 10768
INFO:root:[ iteration ]  step 1
INFO:root:[ iteration ] l2-l1  -998658.193 - -134069.103 = -864589.090 
INFO:root:[ iteration ]  step 2
INFO:root:[ iteration ] l2-l1  -995805.089 - -998658.193 = 2853.104 
INFO:root:[ iteration ]  step 3
INFO:root:[ iteration ] l2-l1  -992931.319 - -995805.089 = 2873.769 
INFO:root:[ iteration ]  step 4
INFO:root:[ iteration ] l2-l1  -990163.499 - -992931.319 = 2767.821 
INFO:root:[ iteration ]  step 5
INFO:root:[ iteration ] l2-l1  -987759.628 - -990163.499 = 2403.871 
INFO:root:[ iteration ]  step 6
INFO:root:[ iteration ] l2-l1  -985803.172 - -987759.628 = 1956.456 
INFO:root:[ iteration ]  step 7
INFO:root:[ iteration ] l2-l1  -984253.209 - -985803.172 = 1549.963 
INFO:root:[ iteration ]  step 8
INFO:root:[ iteration ] l2-l1  -983032.662 - -984253.209 = 1220.547 
INFO:root:[ iteration ]  step 9
INFO:root:[ iteration ] l2-l1  -982063.757 - -983032.662 = 968.905 
INFO:root:[ iteration ]  step 10
INFO:root:[ iteration ] l2-l1  -981276.591 - -982063.757 = 787.166 
INFO:root:[ iteration ]  step 11
INFO:root:[ iteration ] l2-l1  -980623.666 - -981276.591 = 652.926 
INFO:root:[ iteration ]  step 12
INFO:root:[ iteration ] l2-l1  -980076.594 - -980623.666 = 547.072 
INFO:root:[ iteration ]  step 13
INFO:root:[ iteration ] l2-l1  -979612.229 - -980076.594 = 464.365 
INFO:root:[ iteration ]  step 14
INFO:root:[ iteration ] l2-l1  -979214.150 - -979612.229 = 398.078 
INFO:root:[ iteration ]  step 15
INFO:root:[ iteration ] l2-l1  -978871.892 - -979214.150 = 342.259 
INFO:root:[ iteration ]  step 16
INFO:root:[ iteration ] l2-l1  -978576.400 - -978871.892 = 295.492 
INFO:root:[ iteration ]  step 17
INFO:root:[ iteration ] l2-l1  -978319.705 - -978576.400 = 256.695 
INFO:root:[ iteration ]  step 18
INFO:root:[ iteration ] l2-l1  -978092.464 - -978319.705 = 227.240 
INFO:root:[ iteration ]  step 19
INFO:root:[ iteration ] l2-l1  -977886.609 - -978092.464 = 205.855 
INFO:root:[ iteration ]  step 20
INFO:root:[ iteration ] l2-l1  -977698.687 - -977886.609 = 187.922 
INFO:root:[ iteration ]  step 21
INFO:root:[ iteration ] l2-l1  -977526.742 - -977698.687 = 171.945 
INFO:root:[ iteration ]  step 22
INFO:root:[ iteration ] l2-l1  -977367.176 - -977526.742 = 159.566 
INFO:root:[ iteration ]  step 23
INFO:root:[ iteration ] l2-l1  -977214.450 - -977367.176 = 152.725 
INFO:root:[ iteration ]  step 24
INFO:root:[ iteration ] l2-l1  -977070.230 - -977214.450 = 144.220 
INFO:root:[ iteration ]  step 25
INFO:root:[ iteration ] l2-l1  -976935.414 - -977070.230 = 134.816 
INFO:root:[ iteration ]  step 26
INFO:root:[ iteration ] l2-l1  -976808.744 - -976935.414 = 126.670 
INFO:root:[ iteration ]  step 27
INFO:root:[ iteration ] l2-l1  -976688.215 - -976808.744 = 120.529 
INFO:root:[ iteration ]  step 28
INFO:root:[ iteration ] l2-l1  -976574.253 - -976688.215 = 113.962 
INFO:root:[ iteration ]  step 29
INFO:root:[ iteration ] l2-l1  -976466.132 - -976574.253 = 108.121 
INFO:root:[ iteration ]  step 30
INFO:root:[ iteration ] l2-l1  -976365.420 - -976466.132 = 100.712 
INFO:root:[ iteration ]  step 31
INFO:root:[ iteration ] l2-l1  -976273.586 - -976365.420 = 91.834 
INFO:root:[ iteration ]  step 32
INFO:root:[ iteration ] l2-l1  -976189.871 - -976273.586 = 83.715 
INFO:root:[ iteration ]  step 33
INFO:root:[ iteration ] l2-l1  -976113.488 - -976189.871 = 76.383 
INFO:root:[ iteration ]  step 34
INFO:root:[ iteration ] l2-l1  -976042.512 - -976113.488 = 70.976 
INFO:root:[ iteration ]  step 35
INFO:root:[ iteration ] l2-l1  -975970.322 - -976042.512 = 72.190 
INFO:root:[ iteration ]  step 36
INFO:root:[ iteration ] l2-l1  -975894.370 - -975970.322 = 75.952 
INFO:root:[ iteration ]  step 37
INFO:root:[ iteration ] l2-l1  -975819.330 - -975894.370 = 75.040 
INFO:root:[ iteration ]  step 38
INFO:root:[ iteration ] l2-l1  -975747.787 - -975819.330 = 71.542 
INFO:root:[ iteration ]  step 39
INFO:root:[ iteration ] l2-l1  -975677.309 - -975747.787 = 70.479 
INFO:root:[ iteration ]  step 40
INFO:root:[ iteration ] l2-l1  -975607.655 - -975677.309 = 69.654 
INFO:root:[ iteration ]  step 41
INFO:root:[ iteration ] l2-l1  -975539.555 - -975607.655 = 68.099 
INFO:root:[ iteration ]  step 42
INFO:root:[ iteration ] l2-l1  -975477.062 - -975539.555 = 62.493 
INFO:root:[ iteration ]  step 43
INFO:root:[ iteration ] l2-l1  -975418.949 - -975477.062 = 58.113 
INFO:root:[ iteration ]  step 44
INFO:root:[ iteration ] l2-l1  -975361.725 - -975418.949 = 57.223 
INFO:root:[ iteration ]  step 45
INFO:root:[ iteration ] l2-l1  -975306.452 - -975361.725 = 55.273 
INFO:root:[ iteration ]  step 46
INFO:root:[ iteration ] l2-l1  -975255.790 - -975306.452 = 50.662 
INFO:root:[ iteration ]  step 47
INFO:root:[ iteration ] l2-l1  -975208.345 - -975255.790 = 47.446 
INFO:root:[ iteration ]  step 48
INFO:root:[ iteration ] l2-l1  -975161.135 - -975208.345 = 47.209 
INFO:root:[ iteration ]  step 49
INFO:root:[ iteration ] l2-l1  -975114.902 - -975161.135 = 46.233 
INFO:root:[ iteration ]  step 50
INFO:root:[ iteration ] l2-l1  -975071.395 - -975114.902 = 43.507 
INFO:root:[ iteration ]  step 51
INFO:root:[ iteration ] l2-l1  -975028.190 - -975071.395 = 43.205 
INFO:root:[ iteration ]  step 52
INFO:root:[ iteration ] l2-l1  -974983.852 - -975028.190 = 44.338 
INFO:root:[ iteration ]  step 53
INFO:root:[ iteration ] l2-l1  -974940.339 - -974983.852 = 43.513 
INFO:root:[ iteration ]  step 54
INFO:root:[ iteration ] l2-l1  -974900.221 - -974940.339 = 40.118 
INFO:root:[ iteration ]  step 55
INFO:root:[ iteration ] l2-l1  -974860.934 - -974900.221 = 39.287 
INFO:root:[ iteration ]  step 56
INFO:root:[ iteration ] l2-l1  -974821.930 - -974860.934 = 39.004 
INFO:root:[ iteration ]  step 57
INFO:root:[ iteration ] l2-l1  -974783.829 - -974821.930 = 38.101 
INFO:root:[ iteration ]  step 58
INFO:root:[ iteration ] l2-l1  -974747.951 - -974783.829 = 35.878 
INFO:root:[ iteration ]  step 59
INFO:root:[ iteration ] l2-l1  -974715.042 - -974747.951 = 32.909 
INFO:root:[ iteration ]  step 60
INFO:root:[ iteration ] l2-l1  -974683.372 - -974715.042 = 31.670 
INFO:root:[ iteration ]  step 61
INFO:root:[ iteration ] l2-l1  -974651.839 - -974683.372 = 31.533 
INFO:root:[ iteration ]  step 62
INFO:root:[ iteration ] l2-l1  -974620.792 - -974651.839 = 31.047 
INFO:root:[ iteration ]  step 63
INFO:root:[ iteration ] l2-l1  -974589.979 - -974620.792 = 30.813 
INFO:root:[ iteration ]  step 64
INFO:root:[ iteration ] l2-l1  -974559.732 - -974589.979 = 30.247 
INFO:root:[ iteration ]  step 65
INFO:root:[ iteration ] l2-l1  -974529.444 - -974559.732 = 30.287 
INFO:root:[ iteration ]  step 66
INFO:root:[ iteration ] l2-l1  -974499.086 - -974529.444 = 30.359 
INFO:root:[ iteration ]  step 67
INFO:root:[ iteration ] l2-l1  -974468.196 - -974499.086 = 30.890 
INFO:root:[ iteration ]  step 68
INFO:root:[ iteration ] l2-l1  -974437.790 - -974468.196 = 30.406 
INFO:root:[ iteration ]  step 69
INFO:root:[ iteration ] l2-l1  -974409.379 - -974437.790 = 28.411 
INFO:root:[ iteration ]  step 70
INFO:root:[ iteration ] l2-l1  -974382.717 - -974409.379 = 26.662 
INFO:root:[ iteration ]  step 71
INFO:root:[ iteration ] l2-l1  -974356.989 - -974382.717 = 25.728 
INFO:root:[ iteration ]  step 72
INFO:root:[ iteration ] l2-l1  -974330.502 - -974356.989 = 26.487 
INFO:root:[ iteration ]  step 73
INFO:root:[ iteration ] l2-l1  -974301.785 - -974330.502 = 28.717 
INFO:root:[ iteration ]  step 74
INFO:root:[ iteration ] l2-l1  -974272.549 - -974301.785 = 29.236 
INFO:root:[ iteration ]  step 75
INFO:root:[ iteration ] l2-l1  -974243.947 - -974272.549 = 28.603 
INFO:root:[ iteration ]  step 76
INFO:root:[ iteration ] l2-l1  -974215.294 - -974243.947 = 28.653 
INFO:root:[ iteration ]  step 77
INFO:root:[ iteration ] l2-l1  -974187.391 - -974215.294 = 27.902 
INFO:root:[ iteration ]  step 78
INFO:root:[ iteration ] l2-l1  -974160.650 - -974187.391 = 26.741 
INFO:root:[ iteration ]  step 79
INFO:root:[ iteration ] l2-l1  -974133.248 - -974160.650 = 27.402 
INFO:root:[ iteration ]  step 80
INFO:root:[ iteration ] l2-l1  -974104.190 - -974133.248 = 29.059 
INFO:root:[ iteration ]  step 81
INFO:root:[ iteration ] l2-l1  -974074.053 - -974104.190 = 30.136 
INFO:root:[ iteration ]  step 82
INFO:root:[ iteration ] l2-l1  -974044.953 - -974074.053 = 29.100 
INFO:root:[ iteration ]  step 83
INFO:root:[ iteration ] l2-l1  -974015.810 - -974044.953 = 29.144 
INFO:root:[ iteration ]  step 84
INFO:root:[ iteration ] l2-l1  -973986.247 - -974015.810 = 29.563 
INFO:root:[ iteration ]  step 85
INFO:root:[ iteration ] l2-l1  -973958.087 - -973986.247 = 28.160 
INFO:root:[ iteration ]  step 86
INFO:root:[ iteration ] l2-l1  -973930.496 - -973958.087 = 27.590 
INFO:root:[ iteration ]  step 87
INFO:root:[ iteration ] l2-l1  -973902.544 - -973930.496 = 27.952 
INFO:root:[ iteration ]  step 88
INFO:root:[ iteration ] l2-l1  -973874.532 - -973902.544 = 28.013 
INFO:root:[ iteration ]  step 89
INFO:root:[ iteration ] l2-l1  -973847.462 - -973874.532 = 27.070 
INFO:root:[ iteration ]  step 90
INFO:root:[ iteration ] l2-l1  -973822.752 - -973847.462 = 24.710 
INFO:root:[ iteration ]  step 91
INFO:root:[ iteration ] l2-l1  -973801.971 - -973822.752 = 20.782 
INFO:root:[ iteration ]  step 92
INFO:root:[ iteration ] l2-l1  -973782.207 - -973801.971 = 19.764 
INFO:root:[ iteration ] End EM 
INFO:root:z = 3 eps = -973782.206921 time = 747.666631
INFO:root:Topic 0
INFO:root:web : 0.045116 
INFO:root:information : 0.030074 
INFO:root:data : 0.029755 
INFO:root:semantic : 0.024606 
INFO:root:learning : 0.024484 
INFO:root:classification : 0.017352 
INFO:root:extraction : 0.012948 
INFO:root:planning : 0.012565 
INFO:root:text : 0.012329 
INFO:root:mining : 0.012174 
INFO:root:Topic 1
INFO:root:learning : 0.036771 
INFO:root:knowledge : 0.022713 
INFO:root:support : 0.014663 
INFO:root:models : 0.013992 
INFO:root:logic : 0.013513 
INFO:root:planning : 0.011569 
INFO:root:language : 0.011069 
INFO:root:vector : 0.010015 
INFO:root:probabilistic : 0.009392 
INFO:root:machine : 0.008913 
INFO:root:Topic 2
INFO:root:systems : 0.025266 
INFO:root:agents : 0.020213 
INFO:root:based : 0.017661 
INFO:root:model : 0.017511 
INFO:root:agent : 0.016911 
INFO:root:multi-agent : 0.012958 
INFO:root:framework : 0.011407 
INFO:root:analysis : 0.009565 
INFO:root:system : 0.008853 
INFO:root:design : 0.008751 
INFO:root:[ iteration ]  step 1
INFO:root:[ iteration ] l2-l1  -996792.897 - -309813.506 = -686979.391 
INFO:root:[ iteration ]  step 2
INFO:root:[ iteration ] l2-l1  -991540.002 - -996792.897 = 5252.895 
INFO:root:[ iteration ]  step 3
INFO:root:[ iteration ] l2-l1  -984225.991 - -991540.002 = 7314.011 
INFO:root:[ iteration ]  step 4
INFO:root:[ iteration ] l2-l1  -975085.577 - -984225.991 = 9140.413 
INFO:root:[ iteration ]  step 5
INFO:root:[ iteration ] l2-l1  -965824.513 - -975085.577 = 9261.065 
INFO:root:[ iteration ]  step 6
INFO:root:[ iteration ] l2-l1  -958139.813 - -965824.513 = 7684.700 
INFO:root:[ iteration ]  step 7
INFO:root:[ iteration ] l2-l1  -952378.293 - -958139.813 = 5761.520 
INFO:root:[ iteration ]  step 8
INFO:root:[ iteration ] l2-l1  -948093.695 - -952378.293 = 4284.598 
INFO:root:[ iteration ]  step 9
INFO:root:[ iteration ] l2-l1  -944808.549 - -948093.695 = 3285.146 
INFO:root:[ iteration ]  step 10
INFO:root:[ iteration ] l2-l1  -942222.157 - -944808.549 = 2586.392 
INFO:root:[ iteration ]  step 11
INFO:root:[ iteration ] l2-l1  -940132.837 - -942222.157 = 2089.319 
INFO:root:[ iteration ]  step 12
INFO:root:[ iteration ] l2-l1  -938408.826 - -940132.837 = 1724.011 
INFO:root:[ iteration ]  step 13
INFO:root:[ iteration ] l2-l1  -936957.171 - -938408.826 = 1451.655 
INFO:root:[ iteration ]  step 14
INFO:root:[ iteration ] l2-l1  -935721.054 - -936957.171 = 1236.117 
INFO:root:[ iteration ]  step 15
INFO:root:[ iteration ] l2-l1  -934661.816 - -935721.054 = 1059.237 
INFO:root:[ iteration ]  step 16
INFO:root:[ iteration ] l2-l1  -933757.161 - -934661.816 = 904.656 
INFO:root:[ iteration ]  step 17
INFO:root:[ iteration ] l2-l1  -932980.989 - -933757.161 = 776.172 
INFO:root:[ iteration ]  step 18
INFO:root:[ iteration ] l2-l1  -932295.670 - -932980.989 = 685.319 
INFO:root:[ iteration ]  step 19
INFO:root:[ iteration ] l2-l1  -931683.576 - -932295.670 = 612.094 
INFO:root:[ iteration ]  step 20
INFO:root:[ iteration ] l2-l1  -931127.221 - -931683.576 = 556.355 
INFO:root:[ iteration ]  step 21
INFO:root:[ iteration ] l2-l1  -930619.998 - -931127.221 = 507.223 
INFO:root:[ iteration ]  step 22
INFO:root:[ iteration ] l2-l1  -930161.217 - -930619.998 = 458.781 
INFO:root:[ iteration ]  step 23
INFO:root:[ iteration ] l2-l1  -929738.588 - -930161.217 = 422.629 
INFO:root:[ iteration ]  step 24
INFO:root:[ iteration ] l2-l1  -929360.296 - -929738.588 = 378.292 
INFO:root:[ iteration ]  step 25
INFO:root:[ iteration ] l2-l1  -929013.259 - -929360.296 = 347.037 
INFO:root:[ iteration ]  step 26
INFO:root:[ iteration ] l2-l1  -928686.878 - -929013.259 = 326.381 
INFO:root:[ iteration ]  step 27
INFO:root:[ iteration ] l2-l1  -928383.010 - -928686.878 = 303.868 
INFO:root:[ iteration ]  step 28
INFO:root:[ iteration ] l2-l1  -928103.312 - -928383.010 = 279.698 
INFO:root:[ iteration ]  step 29
INFO:root:[ iteration ] l2-l1  -927848.682 - -928103.312 = 254.629 
INFO:root:[ iteration ]  step 30
INFO:root:[ iteration ] l2-l1  -927614.660 - -927848.682 = 234.023 
INFO:root:[ iteration ]  step 31
INFO:root:[ iteration ] l2-l1  -927397.350 - -927614.660 = 217.309 
INFO:root:[ iteration ]  step 32
INFO:root:[ iteration ] l2-l1  -927191.039 - -927397.350 = 206.311 
INFO:root:[ iteration ]  step 33
INFO:root:[ iteration ] l2-l1  -926994.808 - -927191.039 = 196.232 
INFO:root:[ iteration ]  step 34
INFO:root:[ iteration ] l2-l1  -926808.564 - -926994.808 = 186.243 
INFO:root:[ iteration ]  step 35
